station,secchi_2_mn,secchi_2_med,sqrt_secchi_mn,sqrt_secchi_med,temperature_mn,temperature_med,salinity_mn,salinity_med,do_mn,do_med,pctsat_mn,pctsat_med,pH_mn,pH_med,chl_mn,chl_med,log_chl_mn,log_chl_med,log1_chl_mn,log1_chl_med
OBY35,2.7403846153846154,2.7,1.648491732372238,1.6431676725154984,16.083267857142857,16.716,30.054932895111108,30.1594807175,9.182363636363636,8.8,107.76100089354412,108.25,8.0725,8.065000000000001,4.525833333333334,3.5949999999999998,1.3839008142942029,1.2795430239811258,1.6258334221116342,1.5249681637837516
PKT42,2.687323943661972,2.6,1.6279549095233048,1.61245154965971,16.377388888888888,16.8395,29.657914909487847,30.045475285312488,8.696478873239437,8.4,105.24022818121284,105.3,7.949538461538461,8.03,4.9174999999999995,5.035,1.3099343182477072,1.6163301899194087,1.6314562376140442,1.797517849291888
RRC46,1.2166666666666666,1.1,1.086390928455383,1.0488088481701516,16.579714285714285,17.55,27.88028319354167,28.97,7.785507246376811,7.6,93.45121709934934,93.94396296745823,7.784461538461539,7.93,4.712142857142857,5.3,1.5144836625526388,1.7715567619105355,1.6119458291254818,1.8362937286684793
HR1,1.6633333333333333,1.6,1.2765793413820332,1.2649110640673518,16.772285714285715,17.784999999999997,30.805714285714284,31.14,8.381071428571428,8.28,103.56071428571428,101.80000000000001,7.948928571428572,7.945,5.186071428571428,4.8149999999999995,1.4212584658451857,1.5713428432550771,1.6950081567324617,1.760171226145299
HR2,1.6484848484848484,1.55,1.2727533081705735,1.2448279677294702,16.83718181818182,17.3,31.238726253506485,31.24,8.237297297297298,8,102.74254880935499,100.85,7.942112676056338,7.93,4.996842105263158,5.09,1.3676611854840488,1.6272778305624314,1.6636679750903978,1.8066480817218056
STR54,0.9130434782608696,0.8,0.9154817904311976,0.8944271909999159,16.881266666666665,17.5,22.239591369608327,24.6,7.293220338983051,7.1,84.92856343569365,84.9,7.669019607843137,7.71,4.04,3.78,1.2153717515711537,1.3297240096314962,1.5165821383684162,1.5644405465033646
MPL86,1.6070175438596492,1.5,1.255237475441683,1.224744871391589,16.913,17.2,30.798161307844833,31.20090804874995,8.00578947368421,8.18,99.01889681373272,101.35,8.01875,8.01,4.974375,4.375,1.2993888936282576,1.4749122257213891,1.59994487354535,1.6811000551052921
RRY47,1.3394366197183099,1.4,1.1458898528807115,1.1832159566199232,17.638563380281692,18.637,13.552747492357138,13.74269848250005,8.362112676056338,8.19,93.7795245176697,94.5314164160103,7.844375,7.84,6.315625,5.325,1.6339861195860383,1.6723135150868806,1.8453453006999825,1.8444397270569683
HR4,0.96,0.8,0.9063493961937923,0.8944271909999159,17.889363636363637,18.531,27.598725167142863,29.19,6.8531818181818185,6.9,86.4,87.8,7.781666666666666,7.76,4.7011111111111115,4.26,1.3517462636138333,1.449269160281279,1.632166268335693,1.6601310267496185
NMM79,1.4179104477611941,1.4,1.1788670450156185,1.1832159566199232,19.02344776119403,20.5,29.2372801989423,29.89889687,6.9774242424242425,6.8,87.98226227135869,90.4,7.7654901960784315,7.75,11.963125,6.71,1.900929328802943,1.902530604201673,2.0835146194918788,2.0417092110442736
PRV70,1.544186046511628,1.6,1.231361326187661,1.2649110640673518,22.07987037037037,22.8,0.5020306328409045,0.25,8.345098039215687,8.2,95.59163260104953,96.8,7.2083673469387755,7.14,1.6093333333333333,1.3,0.34650499005631313,0.26236426446749106,0.9125660004623372,0.832909122935104
